Service,Service_Tier,Change_Start_Date,Change_End_Date,Change_Type,Implementation_Success_Flag
Customer Portal,Tier 1,2026-01-03 06:00,2026-01-03 08:00,Normal,1
Payments API,Tier 1,2026-02-05 07:00,2026-02-05 09:00,Normal,0
Payments API,Tier 1,2026-02-07 12:00,2026-02-07 13:30,Emergency,0
Mobile Banking,Tier 1,2026-03-01 07:00,2026-03-01 08:15,Normal,1
Mobile Banking,Tier 1,2026-03-03 08:00,2026-03-03 09:30,Normal,0
Internal HR System,Tier 2,2026-03-10 06:00,2026-03-10 07:30,Standard,1
Data Warehouse,Tier 2,2026-03-15 09:00,2026-03-15 11:00,Normal,1
Service Desk Portal,Tier 2,2026-03-22 12:00,2026-03-22 13:00,Normal,0
Core Banking,Tier 1,2026-03-25 06:30,2026-03-25 07:45,Emergency,1
Core Banking,Tier 1,2026-03-28 16:00,2026-03-28 17:30,Normal,1
